"MAZ","EVK","CENTRUM","POLIGON"
"01","01","47.490980 19.045150","47.5146939015652 19.0436777064605,47.5147366015652 19.0434745064606,47.5147466015652 19.0433207064606,47.5147097015653 19.0420223064607,47.5119922015653 19.0426256064606,47.5115985015653 19.0427130064606,47.5077016015654 19.0423588064605,47.5076813015657 19.0392090064609,47.5077085015658 19.0382291064611,47.5077085015659 19.0370790064612,47.5076873015661 19.0355699064614,47.5077075015662 19.0342310064616,47.5077379015664 19.0326737064618,47.5078298015665 19.031550106462,47.5079157015666 19.0305062064621,47.5079595015666 19.0299457064622,47.5080082015667 19.0292370064623,47.5080259015668 19.0286230064623,47.5080572015668 19.0279735064624,47.5080728015668 19.0277467064625,47.5080811015669 19.0276634064625,47.5080801015668 19.0276033064625,47.5079498015669 19.0274793064625,47.5078425015669 19.0271713064625,47.5076101015669 19.0268458064626,47.5074744015669 19.0268613064626,47.5074900015669 19.0268242064626,47.5075866015669 19.0265937064626,47.507433701567 19.0264038064626,47.507234601567 19.0261577064627,47.506998201567 19.0258628064627,47.5060604015671 19.0248035064628,47.5055753015672 19.0245924064628,47.5048524015672 19.0244331064628,47.5043557015672 19.0244295064628,47.5041456015673 19.0243805064628,47.5035326015672 19.0242524064628,47.5033739015672 19.0242443064628,47.5032097015672 19.0242647064628,47.5029805015672 19.0243356064627,47.5028267015672 19.0243676064628,47.5024491015673 19.0244139064627,47.5018721015673 19.0244846064627,47.5015104015672 19.0244432064627,47.5011365015673 19.0243735064627,47.5006168015673 19.0242287064627,47.5004776015673 19.0241934064627,47.5002162015673 19.0241715064627,47.4992325015673 19.0241637064627,47.4986655015673 19.0241756064627,47.4983998015673 19.0241376064627,47.4956112015674 19.0237384064626,47.4955698015674 19.0237325064626,47.4950662015674 19.0237891064626,47.4948535359057 19.0237350395284,47.4945373420961 19.0237270884633,47.4940619194155 19.0237679164968,47.4935660917615 19.0238596783987,47.4934050966586 19.0238747630543,47.4932640804368 19.0239058477101,47.4929010789123 19.023999186333,47.4925362535911 19.0240668377843,47.4920504041004 19.0241893665509,47.4916105166706 19.0242757174076,47.4911050923244 19.0243784032519,47.4904172792824 19.0244772498096,47.4899923776925 19.0245345447772,47.4891197995127 19.02463207288,47.4883075061456 19.0246775169908,47.487870134037 19.0246510163271,47.4874965106479 19.0246272788927,47.487199447467 19.0245816727411,47.4868575704201 19.0244703119585,47.4865639434736 19.0244638493234,47.4861578094242 19.024512013672,47.4858490511064 19.024684936287,47.4856114152016 19.0248653595659,47.4853289635444 19.0250951128693,47.484996446422 19.0253847233201,47.4846364259477 19.0256449263609,47.4844355996842 19.0257596575049,47.4841347659178 19.0259198059844,47.4840148816647 19.0259979924926,47.4838442423569 19.0260902378615,47.4836276635483 19.0262308354147,47.48335201719 19.0263998010213,47.4832132568901 19.0264865040624,47.4830702558027 19.0265674180791,47.4828956182729 19.0266469051815,47.4827651096265 19.0267155615956,47.4825522160979 19.0267859699857,47.4823570775626 19.0268360166127,47.4821027410158 19.0268644951169,47.4817847095467 19.026859807945,47.4816201910753 19.0268367735517,47.4812881501844 19.0267946201092,47.4810234264854 19.0267525771177,47.4808115840776 19.0267206826055,47.4806555610368 19.0266983476178,47.480229485377 19.0266145327984,47.4800622708825 19.0265735070034,47.4797283453071 19.0264729769094,47.4793328443069 19.0262786491926,47.4790447972766 19.0261509534223,47.4788541402724 19.0269084504505,47.478602721212 19.027882175651,47.4784624467907 19.0284108922533,47.4782976679425 19.0290069878151,47.4781957123033 19.0294490258438,47.478081629067 19.0298672295486,47.4779701085173 19.0302743105689,47.4778370840654 19.0308080909948,47.4776165415664 19.0315636147984,47.4774487690074 19.0321711273487,47.4730965164396 19.0341422682099,47.472061276364 19.0399444468131,47.4710441374662 19.045339011647,47.4700460170245 19.050718814579,47.4690618184728 19.0560062974122,47.4688463616185 19.0573331968871,47.4687752967135 19.0578871892842,47.4687332421689 19.0584840970257,47.4685322015634 19.0673361064559,47.4697736015634 19.067505506456,47.4714015015634 19.067444006456,47.4737051015634 19.0669219064561,47.4760395015635 19.0658161064564,47.4783738015636 19.0640654064567,47.4789130015637 19.0635134064568,47.4796639015637 19.0627446064569,47.4806468015639 19.0613931064571,47.4823975015641 19.0590281064575,47.4845783015643 19.0562637064579,47.4857856015645 19.0548050064581,47.4886810015648 19.0513066064587,47.4908370396585 19.0490913455704,47.4929840830048 19.0550556518441,47.4937449860128 19.0575571492192,47.4943438015638 19.0600299064577,47.4945868015637 19.0611741064575,47.4952649015634 19.0639149064572,47.4960795015632 19.0668705064568,47.4970351015628 19.0703031064564,47.4971170015627 19.0705904064564,47.4971445197574 19.0706083359089,47.4976976887141 19.0704649800893,47.4980387203278 19.0703729827443,47.4984487392665 19.0702198663502,47.4988882197073 19.0700225965138,47.4992156529783 19.0697524774648,47.4995316259244 19.0694853928091,47.4998980875982 19.0692390197928,47.5002745357585 19.0689819853996,47.5007005005634 19.0686491203177,47.5014859010995 19.0677673557611,47.5022710928458 19.0668507605158,47.5033697000735 19.0656774952954,47.504768992124 19.0640335171082,47.5065151808768 19.0615775117985,47.5073429779528 19.0602901361273,47.507986004959 19.0594300832099,47.5087559007991 19.0583514535715,47.5097586305792 19.0570085011789,47.510517601564 19.0556583064588,47.5107057015641 19.0552192064588,47.5113374015642 19.0533851064591,47.5126639015646 19.0496700064596,47.5132836015648 19.0476533064599,47.514130201565 19.0452562064603"
"01","02","47.485101 19.080764","47.4996322137724 19.0974788152747,47.4996255813479 19.0968917128433,47.4996085648716 19.095362998549,47.4996034367106 19.0937052624424,47.499605052972 19.0917937498923,47.4996201737211 19.0895920256723,47.4996355425225 19.0882400144191,47.499607479491 19.0865477577971,47.4996065784791 19.0818372128148,47.4995209015618 19.0795430064552,47.499161601562 19.0780980064554,47.4979977015624 19.073679406456,47.4971170015627 19.0705904064564,47.4970351015628 19.0703031064564,47.4960795015632 19.0668705064568,47.4952649015634 19.0639149064572,47.4945868015637 19.0611741064575,47.4943438015638 19.0600299064577,47.4937449860128 19.0575571492192,47.4929840830048 19.0550556518441,47.4908370396585 19.0490913455704,47.4886810015648 19.0513066064587,47.4857856015645 19.0548050064581,47.4845783015643 19.0562637064579,47.4823975015641 19.0590281064575,47.4806468015639 19.0613931064571,47.4796639015637 19.0627446064569,47.4789130015637 19.0635134064568,47.4783738015636 19.0640654064567,47.4760395015635 19.0658161064564,47.4737051015634 19.0669219064561,47.4714015015634 19.067444006456,47.4697736015634 19.067505506456,47.4685322015634 19.0673361064559,47.4684752493889 19.0684356188979,47.4684650354801 19.0693779099133,47.4684172757092 19.070495054124,47.4684002680893 19.0716944575509,47.4683708665473 19.0726929125679,47.468360005314 19.0732037048804,47.4683405694533 19.0738993953406,47.468333635336 19.0745929482274,47.4684179545716 19.075174854279,47.4685347029062 19.0761604468693,47.4685962299264 19.0771456981812,47.4686797765946 19.0781678846893,47.4687432398516 19.0795205143279,47.4688302711083 19.0804219376066,47.4689629564539 19.0813120486904,47.4692145539541 19.0825623766322,47.4694610084917 19.0833454506676,47.4698290144221 19.0846674189292,47.4700545123858 19.0861522443075,47.4703175610271 19.0887614347369,47.4706052554494 19.0900884347366,47.4711651061912 19.0916270855543,47.471830729999 19.0938081490916,47.4727663788417 19.0962305195748,47.4736245478425 19.0968241492133,47.474555505642 19.0976532074408,47.4756666015603 19.098496906452,47.4821436015597 19.1035886064515,47.4822160015597 19.1036455064515,47.4826990688992 19.1043739814672,47.485610202808 19.1069755374875,47.4865157247151 19.1076447302385,47.4882500016214 19.1086542919148,47.4885814426164 19.1072376157052,47.4892263103778 19.1058467167967,47.489698382903 19.1049350336824,47.4905905047895 19.1036122193044,47.491700977752 19.1026969021494,47.4937231761549 19.1015193912397,47.4962085347391 19.0999433746003,47.4977963280651 19.0990792590132,47.4989814809619 19.0982826103453"
